Set,Price_Euro,Pieces,Minifigs
Corner Garage,,,6.0
Ford Mustang,,,
NASA Apollo 11 Lunar Lander,,,2.0
Gingerbread House,,,2.0
Harley-Davidson Fat Boy,,,
Woody & RC,,,1.0
Duke Caboom's Stunt Show,,,2.0
Buzz and Bo Peep's Playground Adventure,,,3.0
RV Vacation,,,3.0
Buzz & Woody's Carnival Mania!,,,5.0
Carnival Thrill Coaster,,,2.0
My First Tow Truck,,,
My First Balancing Animals,,,
My First Fun Puzzle,,,
My First Car Creations,,,
Creative Fun,,,1.0
Mickey's Vacation House,,,3.0
Spider-Man vs. Electro,,,2.0
Toy Story Train,,,2.0
Emmet and Lucy's Visitors from the DUPLO Planet,,,2.0
My First Minnie Build,,,
My First Mickey Build,,,
Frozen Ice Castle,,,3.0
Police Bike,,,1.0
Fire Truck,,,2.0
Police Station,,,3.0
Fire Station,,,2.0
Baby Animals,,,
Tropical Island,,,3.0
World Animals,,,6.0
Plane,,,1.0
Submarine Adventure,,,2.0
Bricks and Ideas,,,
Basic Brick Set ,,,
Bricks and Eyes ,,,
Windows of Creativity,,,
Creative Fun,,,
Star Wars: Build Your Own Adventure Galactic Missions parts,,,1.0
The Book of Bedtime Builds parts,,,
Harry Potter: Build Your Own Adventure parts,,,1.0
Christmas Ideas parts,,,
Wooden Minifigure parts,,,
San Francisco,,,
Paris,,,
Trafalgar Square,,,
Empire State Building,,,
Burj Khalifa,,,
Minecraft Steve BigFig with Parrot,,,
Minecraft Alex BigFig with Chicken,,,
Minecraft Skeleton BigFig with Magma Cube,,,
The End Battle,,,2.0
The Pirate Ship Adventure,,,3.0
The Wool Farm,,,1.0
The Blaze Bridge,,,4.0
The Creeper Mine,,,4.0
The Flintstones,,,4.0
Steamboat Willie,,,2.0
Tree House,,,4.0
Central Perk,,,7.0
Dinosaur Fossils,,,2.0
My First Duck,,,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,,,1.0
Fire ATV,,,1.0
Sky Police Jetpack,,,2.0
Race Boat,,,1.0
Popcorn Cart,,,1.0
Space Satellite,,,1.0
Naboo Starfighter,,,
Snowspeeder,,,
Minecraft Steve and Creeper Set,,,2.0
Tulips,,,
Emma's Bumper Cars,,,1.0
Mia's Water Fun,,,1.0
Spider-Man's Mini Spider Crawler,,,1.0
Iron Man and Dum-E,,,1.0
Rex's Plantimal Ambush,,,1.0
Podracer,,60.0,
Lucy vs. Alien Invader,,,1.0
Mini Master-Building MetalBeard,,,1.0
Mini Master-Building Emmet,,,1.0
Sam-X,,,
Ninja Workout,,,1.0
Fire Flight,,,1.0
Fish Free Builds - Make It Yours,,,
Elsa's Winter Throne,,,1.0
Pelican,,,
Race Car,,,
Santa,,,
Star-Stuck Emmet,,,1.0
SHAZAM!,,,1.0
Obi-Wan Kenobi - Collectable Minifigure,,,1.0
Futuristic Flyer,,,
Dune Buggy,,,
Deep Sea Creatures,,,
Sunset Track Racer,,,
Underwater Robot,,,
Shuttle Transporter,,,
Helicopter Adventure,,,
Riverside Houseboat,,,2.0
Race Plane,,,1.0
Fairground Carousel,,,3.0
Twin-Rotor Helicopter,,,1.0
Townhouse Pet Shop & Café,,,3.0
Outback Cabin,,,2.0
Year of the Pig,,,
MSC Cruises,,,
Jet Fighter,,,
Caterpillar,,,
Viking Ship,,,
Ladybird,,,
Crane,,,
Frog,,,
Ice Cream Truck,,,
Racing Car,,,
Eagle,,,
UFO,,,
Wolf,,,
